7.549000,5.189000,-12.891001
10.549000,5.189000,-12.891001
13.539001,5.179000,-12.971001
0.183545,7.549000,5.189000,-12.891001
0.185061,10.549000,5.189000,-12.891001
0.186883,13.539001,5.179000,-12.971001
0.183545,9.110000,-2.670000,-8.270000
0.185061,12.110000,-2.670000,-8.270000
0.186883,15.100000,-2.680000,-8.350000
0.183545,9.110000,-2.670000,-8.270000
0.185061,12.110000,-2.670000,-8.270000
0.186883,15.100000,-2.680000,-8.350000
0.183545,7.549000,5.189000,-12.891001
0.185061,10.549000,5.189000,-12.891001
0.186883,13.539001,5.179000,-12.971001
0.183545,7.549000,5.189000,-12.891001
0.185061,10.549000,5.189000,-12.891001
0.186883,13.539001,5.179000,-12.971001
0.183545,7.549000,5.189000,-12.891001
0.185061,10.549000,5.189000,-12.891001
0.186883,13.539001,5.179000,-12.971001
0.183545,7.549000,5.189000,-12.891001
0.185061,10.549000,5.189000,-12.891001
0.186883,13.539001,5.179000,-12.971001
0.183545,7.549000,5.189000,-12.891001
0.185061,10.549000,5.189000,-12.891001
0.186883,13.539001,5.179000,-12.971001
0.183545,7.549000,5.189000,-12.891001,-2.882000,7.627000,-7.478000
0.185061,10.549000,5.189000,-12.891001,-2.882000,7.627000,-7.478000
0.186883,13.539001,5.179000,-12.971001,-2.872000,7.627000,-7.478000
