Time [s],Packet,Type,Identifier,Control,Data,CRC,ACK
-3.5e-06,0,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.00016175,1,DATA,0x10210046,0x8,0x02 0xC6 0xFF 0x00 0xFC 0x39 0x00 0x01,0x24A1,ACK
0.000302,2,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.00166625,3,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.001988375,4,DATA,0x10210046,0x8,0x02 0xC3 0xFF 0x00 0xFC 0x34 0x00 0x01,0x680D,ACK
0.002130375,5,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.0033365,6,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.003501625,7,DATA,0x10210046,0x8,0x02 0xC3 0xFF 0x00 0xFC 0x34 0x00 0x01,0x680D,ACK
0.003643875,8,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.00500725,9,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.00532925,10,DATA,0x10210046,0x8,0x02 0xC3 0xFF 0x00 0xFC 0x34 0x00 0x01,0x680D,ACK
0.00547125,11,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.0066765,12,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.006843625,13,DATA,0x10210046,0x8,0x02 0xC3 0xFF 0x00 0xFC 0x34 0x00 0x01,0x680D,ACK
